Network	Station	Phase	Time	Time_trunc
AZ	TRO	S	2016-06-10T23:26:40.108300	2016-06-10T23:26:40
AZ	TRO	P	2016-06-10T23:36:49.908300	2016-06-10T23:36:49
AZ	TRO	P	2016-06-10T23:46:47.108300	2016-06-10T23:46:47
AZ	TRO	S	2016-06-10T23:32:44.908300	2016-06-10T23:32:44
AZ	TRO	S	2016-06-10T23:35:46.808300	2016-06-10T23:35:46
AZ	TRO	S	2016-06-10T23:36:12.808300	2016-06-10T23:36:12
AZ	TRO	S	2016-06-10T23:36:50.208300	2016-06-10T23:36:50
AZ	TRO	P	2016-06-10T23:46:47.108300	2016-06-10T23:46:47
AZ	TRO	P	2016-06-10T23:49:11.808300	2016-06-10T23:49:11
AZ	TRO	S	2016-06-10T23:51:26.608300	2016-06-10T23:51:26
AZ	TRO	S	2016-06-10T23:59:06.308300	2016-06-10T23:59:06
