# Network Station Phase Time Probability
AZ TRO S 2016-06-10T20:39:23.008300 0.989
AZ TRO S 2016-06-10T20:47:13.308300 0.992
AZ TRO S 2016-06-10T20:50:56.208300 0.990
AZ TRO S 2016-06-10T20:55:55.508300 0.963
AZ TRO S 2016-06-10T21:02:43.208300 0.956
AZ TRO S 2016-06-10T21:03:04.308300 0.970
AZ TRO S 2016-06-10T21:04:21.008300 0.981
AZ TRO S 2016-06-10T21:05:06.708300 0.959
AZ TRO S 2016-06-10T21:07:27.308300 0.977
AZ TRO S 2016-06-10T21:08:20.008300 0.994
AZ TRO S 2016-06-10T21:15:00.008300 0.991
AZ TRO S 2016-06-10T21:15:09.208300 0.951
AZ TRO S 2016-06-10T21:15:51.708300 0.972
AZ TRO S 2016-06-10T21:19:41.708300 0.992
AZ TRO S 2016-06-10T21:26:17.008300 0.975
AZ TRO S 2016-06-10T21:30:30.608300 0.991
AZ TRO S 2016-06-10T21:37:55.308300 0.976
AZ TRO S 2016-06-10T21:46:08.008300 0.988
AZ TRO S 2016-06-10T21:54:29.808300 0.990
AZ TRO S 2016-06-10T21:59:34.308300 0.956
AZ TRO S 2016-06-10T21:59:34.308300 0.956
AZ TRO S 2016-06-10T22:00:15.408300 0.963
AZ TRO S 2016-06-10T22:01:17.308300 0.988
AZ TRO S 2016-06-10T22:07:37.108300 0.959
AZ TRO S 2016-06-10T22:11:09.508300 0.988
AZ TRO S 2016-06-10T22:11:42.808300 0.985
AZ TRO S 2016-06-10T22:12:38.508300 0.977
AZ TRO S 2016-06-10T22:17:47.208300 0.977
AZ TRO S 2016-06-10T22:24:21.108300 0.974
AZ TRO S 2016-06-10T22:25:00.708300 0.978
AZ TRO P 2016-06-10T22:40:18.508300 0.960
AZ TRO P 2016-06-10T22:44:12.008300 0.984
AZ TRO S 2016-06-10T22:40:20.408300 0.989
AZ TRO S 2016-06-10T22:41:45.508300 0.950
AZ TRO S 2016-06-10T22:43:28.508300 0.991
AZ TRO S 2016-06-10T22:44:14.108300 0.990
AZ TRO S 2016-06-10T22:45:08.408300 0.992
AZ TRO S 2016-06-10T22:45:08.408300 0.992
